"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Afghanistan","Total population (1000 inhab)",1962,9346.0,"E",,1967,10373.0,"E",,1972,11722.0,"E",,1977,13068.0,"E",,1982,12750.0,"E",,1987,11503.0,"E",,1992,13981.0,"E",,1997,18382.0,"E",,2002,21980.0,"E",,2007,26617.0,"E",,2012,30697.0,"E",,2017,35530.0,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Albania","Total population (1000 inhab)",1962,1738.0,"E",,1967,1999.0,"E",,1972,2254.0,"E",,1977,2518.0,"E",,1982,2788.0,"E",,1987,3121.0,"E",,1992,3241.0,"E",,1997,3093.0,"E",,2002,3119.0,"E",,2007,3024.0,"E",,2012,2920.0,"E",,2017,2930.0,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Algeria","Total population (1000 inhab)",1962,11690.0,"E",,1967,13354.0,"E",,1972,15377.0,"E",,1977,17690.0,"E",,1982,20576.0,"E",,1987,23918.0,"E",,1992,27181.0,"E",,1997,29887.0,"E",,2002,31995.0,"E",,2007,34300.0,"E",,2012,37566.0,"E",,2017,41318.0,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Andorra","Total population (1000 inhab)",1962,15.37,"E",,1967,20.76,"E",,1972,26.89,"E",,1977,32.77,"E",,1982,39.11,"E",,1987,48.46,"E",,1992,58.89,"E",,1997,64.33,"E",,2002,70.05,"E",,2007,82.68,"E",,2012,82.43,"E",,2017,76.96,"E",

