"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Afghanistan","Gross Domestic Product (GDP) (current US$)",1962,5.46666678E8,"E",,1967,1.673333419E9,"E",,1972,1.595555476E9,"E",,1977,2.953333419E9,"E",,1981,3.47878791E9,"E",,,,"",,,,"",,,,"",,2002,4.128818042E9,"E",,2007,9.843842455E9,"E",,2012,2.0536542737E10,"E",,2015,1.9199437989E10,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Albania","Gross Domestic Product (GDP) (current US$)",,,"",,,,"",,,,"",,,,"",,,,"",,1987,2.1566249E9,"E",,1992,7.09452584E8,"E",,1997,2.359903108E9,"E",,2002,4.435078648E9,"E",,2007,1.0701011897E10,"E",,2012,1.2319784787E10,"E",,2015,1.1455595709E10,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Algeria","Gross Domestic Product (GDP) (current US$)",1962,2.001460831E9,"E",,1967,3.370870459E9,"E",,1972,6.761786485E9,"E",,1977,2.0971901065E10,"E",,1982,4.5207090661E10,"E",,1987,6.6742269086E10,"E",,1992,4.8003298223E10,"E",,1997,4.8177862502E10,"E",,2002,5.6760288396E10,"E",,2007,1.35E11,"E",,2012,2.09E11,"E",,2015,1.67E11,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
