"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Afghanistan","Long-term average annual precipitation in volume (10^9 m3/year)",1962,213.5,"K",,1967,213.5,"K",,1972,213.5,"K",,1977,213.5,"K",,1982,213.5,"K",,1987,213.5,"K",,1992,213.5,"K",,1997,213.5,"K",,2002,213.5,"K",,2007,213.5,"K",,2012,213.5,"K",,2017,213.5,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Albania","Long-term average annual precipitation in volume (10^9 m3/year)",1962,42.69,"E",,1967,42.69,"E",,1972,42.69,"E",,1977,42.69,"E",,1982,42.69,"E",,1987,42.69,"E",,1992,42.69,"E",,1997,42.69,"E",,2002,42.69,"E",,2007,42.69,"E",,2012,42.69,"E",,2017,42.69,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Algeria","Long-term average annual precipitation in volume (10^9 m3/year)",1962,212.0,"E",,1967,212.0,"E",,1972,212.0,"E",,1977,212.0,"E",,1982,212.0,"E",,1987,212.0,"E",,1992,212.0,"E",,1997,212.0,"E",,2002,212.0,"E",,2007,212.0,"E",,2012,212.0,"E",,2017,212.0,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Andorra","Long-term average annual precipitation in volume (10^9 m3/year)",1962,0.4724,"E",,1967,0.4724,"E",,1972,0.4724,"E",,1977,0.4724,"E",,1982,0.4724,"E",,1987,0.4724,"E",,1992,0.4724,"E",,1997,0.4724,"E",,2002,0.4724,"E",,2007,0.4724,"E",,2012,0.4724,"E",,2017,0.4724,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Angola","Long-term average annual precipitation in volume (10^9 m3/year)",1962,1259.0,"E",,1967,1259.0,"E",,1972,1259.0,"E",,1977,1259.0,"E",,1982,1259.0,"E",,1987,1259.0,"E",,1992,1259.0,"E",,1997,1259.0,"E",,2002,1259.0,"E",,2007,1259.0,"E",,2012,1259.0,"E",,2017,1259.0,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Antigua and Barbuda","Long-term average annual precipitation in volume (10^9 m3/year)",1962,0.4532,"E",,1967,0.4532,"E",,1972,0.4532,"E",,1977,0.4532,"E",,1982,0.4532,"E",,1987,0.4532,"E",,1992,0.4532,"E",,1997,0.4532,"E",,2002,0.4532,"E",,2007,0.4532,"E",,2012,0.4532,"E",,2017,0.4532,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Argentina","Long-term average annual precipitation in volume (10^9 m3/year)",1962,1643.0,"",,1967,1643.0,"",,1972,1643.0,"",,1977,1643.0,"",,1982,1643.0,"",,1987,1643.0,"",,1992,1643.0,"",,1997,1643.0,"",,2002,1643.0,"",,2007,1643.0,"",,2012,1643.0,"",,2017,1643.0,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Armenia","Long-term average annual precipitation in volume (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,16.71,"K",,1997,16.71,"K",,2002,16.71,"K",,2007,16.71,"K",,2012,16.71,"K",,2017,16.71,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
